_record_id,SKU编码,下单时间,产品名称,创建日期,合同数量,合同编号,序号,库存可用量,库存状态,排单批次号,是否RB800,缺口数量,规格,项目名称,预计到货日期
recvkNoeFl2t37,消控室值班助手-利达华信LD128EQ-多线盘LD9202EN,1779724800000,消控室值班助手-利达华信LD128EQ-多线盘LD9202EN,1779859777000,3.0,AC20260526-10,912,23.0,有货,RUN-20260529-001,是,0.0,AC-RB800,佛山中海锦城国际花园,
recvkNoeFlBZsJ,主机通讯板-利达华信6907,1779724800000,主机通讯板-利达华信6907,1779859777000,3.0,AC20260526-10,913,30.0,有货,RUN-20260529-001,否,0.0,LD6907EN,佛山中海锦城国际花园,
recvkNoeFlojuD,用户信息传输装置,1779724800000,用户信息传输装置,1779859777000,1.0,AC20260526-10,914,40.0,有货,RUN-20260529-001,否,0.0,GW-CS361,佛山中海锦城国际花园,
recvkNoeFlozMa,消控室值班助手-利达华信LD128EⅡ(触摸屏)-主键盘,1779724800000,消控室值班助手-利达华信LD128EⅡ(触摸屏)-主键盘,1779859777000,3.0,AC20260526-10,915,24.0,有货,RUN-20260529-001,是,0.0,AC-RB800,佛山中海锦城国际花园,
recvkNoeFlwVfy,采集传输终端,1779724800000,采集传输终端,1779859777000,3.0,AC20260526-10,916,17.0,有货,RUN-20260529-001,否,0.0,AC-CTU504,佛山中海锦城国际花园,
recvkNoeFlcEMO,消控室值班助手--消防广播-原杰YJG4610/4630/4650,1779724800000,消控室值班助手--消防广播-原杰YJG4610/4630/4650,1779859777000,2.0,AC20260526-10,917,0.0,缺货,RUN-20260529-001,是,2.0,AC-RB800,佛山中海锦城国际花园,2026-06-08
recvkNoeFl8Lxl,物联网卡（电信4G）,1779724800000,物联网卡（电信4G）,1779859777000,3.0,AC20260526-10,918,891.0,有货,RUN-20260529-001,否,0.0,100M/月/3年期/新开卡,佛山中海锦城国际花园,
recvkNoeFlQPwM,用户信息传输装置,1779724800000,用户信息传输装置,1779859777000,1.0,AC20260526-11,919,12.0,有货,RUN-20260529-001,否,0.0,AC-CS361,东莞中海松湖华庭,
recvkNoeFlbrF3,消控室值班助手-泛海三江9000/9116-KZJ-LD5-03-多线盘,1779724800000,消控室值班助手-泛海三江9000/9116-KZJ-LD5-03-多线盘,1779859777000,12.0,AC20260526-11,920,174.0,有货,RUN-20260529-001,是,0.0,AC-RB800,东莞中海松湖华庭,
recvkNoeFl45TD,采集传输终端,1779724800000,采集传输终端,1779859777000,2.0,AC20260526-11,921,14.0,有货,RUN-20260529-001,否,0.0,AC-CTU504,东莞中海松湖华庭,
recvkNoeFlTP1a,消控室值班助手-泛海三江9116/9100/A116-主键盘,1779724800000,消控室值班助手-泛海三江9116/9100/A116-主键盘,1779859777000,2.0,AC20260526-11,922,33.0,有货,RUN-20260529-001,是,0.0,AC-RB800,东莞中海松湖华庭,
recvkNoeFlSBDy,消控室值班助手-泛海三江9116/A116-总线盘,1779724800000,消控室值班助手-泛海三江9116/A116-总线盘,1779859777000,1.0,AC20260526-11,923,10.0,有货,RUN-20260529-001,是,0.0,AC-RB800,东莞中海松湖华庭,
recvkNoeFlNf88,物联网卡（电信4G）,1779724800000,物联网卡（电信4G）,1779859777000,3.0,AC20260526-11,924,888.0,有货,RUN-20260529-001,否,0.0,100M/月/3年期/新开卡,东莞中海松湖华庭,
recvkNoeFlGRIV,主机通讯板-泛海三江982,1779724800000,主机通讯板-泛海三江982,1779859777000,1.0,AC20260526-11,925,18.0,有货,RUN-20260529-001,否,0.0,JB-FSD-982,东莞中海松湖华庭,
recvkNoeFlMhUA,消控室值班助手-消防广播-泛海三江GB9242B/300W,1779724800000,消控室值班助手-消防广播-泛海三江GB9242B/300W,1779859777000,2.0,AC20260526-11,1055,28.0,有货,RUN-20260529-001,是,0.0,AC-RB800,东莞中海松湖华庭,
recvkNoeFlSKFz,消控室值班助手-泛海三江A116-多线盘,1779724800000,消控室值班助手-泛海三江A116-多线盘,1779859777000,18.0,AC20260526-12,926,44.0,有货,RUN-20260529-001,是,0.0,AC-RB800,东莞中海松湖雅颂,
recvkNoeFlmvFk,消控室值班助手-泛海三江9116/9100/A116-主键盘,1779724800000,消控室值班助手-泛海三江9116/9100/A116-主键盘,1779859777000,3.0,AC20260526-12,927,31.0,有货,RUN-20260529-001,是,0.0,AC-RB800,东莞中海松湖雅颂,
recvkNoeFlJnGZ,物联网卡（电信4G）,1779724800000,物联网卡（电信4G）,1779859777000,4.0,AC20260526-12,928,885.0,有货,RUN-20260529-001,否,0.0,100M/月/3年期/新开卡,东莞中海松湖雅颂,
recvkNoeFlVXw6,采集传输终端,1779724800000,采集传输终端,1779859777000,3.0,AC20260526-12,929,12.0,有货,RUN-20260529-001,否,0.0,AC-CTU504,东莞中海松湖雅颂,
recvkNoeFlqtWN,用户信息传输装置,1779724800000,用户信息传输装置,1779859777000,1.0,AC20260526-12,930,11.0,有货,RUN-20260529-001,否,0.0,AC-CS361,东莞中海松湖雅颂,
recvkNoeFlNGMz,主机通讯板-泛海三江982,1779724800000,主机通讯板-泛海三江982,1779859777000,1.0,AC20260526-12,931,17.0,有货,RUN-20260529-001,否,0.0,JB-FSD-982,东莞中海松湖雅颂,
recvkNoeFlPK6Y,消控室值班助手-泛海三江9116/A116-总线盘,1779724800000,消控室值班助手-泛海三江9116/A116-总线盘,1779859777000,3.0,AC20260526-12,932,9.0,有货,RUN-20260529-001,是,0.0,AC-RB800,东莞中海松湖雅颂,
recvkNoeFl3BPY,消控室值班助手-消防广播-泛海三江GB9242B/300W,1779724800000,消控室值班助手-消防广播-泛海三江GB9242B/300W,1779859777000,2.0,AC20260526-12,1062,26.0,有货,RUN-20260529-001,是,0.0,AC-RB800,东莞中海松湖雅颂,
recvkNoeFl8haL,消控室值班助手-深圳泰和安TX3016A-多线盘,1779724800000,消控室值班助手-深圳泰和安TX3016A-多线盘,1779859777000,11.0,AC20260526-13,933,42.0,有货,RUN-20260529-001,是,0.0,AC-RB800,珠海南航标准培训中心,
recvkNoeFlKiYE,用户信息传输装置,1779724800000,用户信息传输装置,1779859777000,2.0,AC20260526-13,934,10.0,有货,RUN-20260529-001,否,0.0,AC-CS361,珠海南航标准培训中心,
recvkNoeFlACXw,采集传输终端,1779724800000,采集传输终端,1779859777000,5.0,AC20260526-13,935,9.0,有货,RUN-20260529-001,否,0.0,AC-CTU504,珠海南航标准培训中心,
