_record_id,AI建议发货时间,人工确认发货时间,合同编号,排单ID,排单批次号,整体状态,是否人工确认,缺货SKU数,订单SKU总数,订单总数量,订单状态,项目类型,缺货SKU列表
recvj75yM8kJW1,2026-05-11,2026-05-10,AC20260415-1,106,RUN-20260509-001,有货,是,0,3,12,已确认,远程控制项目,
recvj75zolAIfa,2026-05-11,2026-05-10,AC20260415-2,107,RUN-20260509-001,有货,是,0,1,1,已确认,远程控制项目,
recvj75zYkXIj4,2026-05-11,2026-05-10,AC20260416-1,108,RUN-20260509-001,有货,是,0,5,6,已确认,远程控制项目,
recvj75AD7PquK,2026-05-11,2026-05-10,AC20260417-1,109,RUN-20260509-001,有货,是,0,1,2,已确认,常规项目,
recvj75Bb4inqZ,2026-05-11,2026-05-10,AC20260509-2,110,RUN-20260509-001,有货,是,0,7,20,已确认,远程控制项目,
,2026-05-11,,AC20260509-5,,RUN-20260509-002,有货,否,0,1,2,待确认,常规项目,
,2026-05-11,,AC20260509-6,,RUN-20260509-002,有货,否,0,1,1,待确认,常规项目,
recvj75BIP8SCM,2026-05-11,2026-05-10,GW20260414-4,111,RUN-20260509-001,有货,是,0,3,4,已发货,远程控制项目,
,2026-05-19,,AC20260509-4,,RUN-20260509-002,缺货,否,1,5,8,待确认,远程控制项目,RB8-338
,2026-05-19,,GW20260416-1,,RUN-20260509-002,缺货,否,2,4,5,待确认,远程控制项目,"RB8-245, RB8-72"
,2026-05-29,,AC20260509-1,,RUN-20260509-002,缺货,否,2,6,16,待确认,远程控制项目,"RB8-277, RB8-278"
,2026-05-29,,AC20260509-3,,RUN-20260509-002,缺货,否,1,5,11,待确认,远程控制项目,RB8-277
,2026-05-29,,GW20260410-3,,RUN-20260509-002,缺货,否,2,2,7,待确认,远程控制项目,"RB8-83, SX-NVR-7104-4CH"
,2026-05-29,,GW20260413-2,,RUN-20260509-002,缺货,否,1,2,2,待确认,远程控制项目,RB8-290
,2026-05-29,,GW20260415-5,,RUN-20260509-002,缺货,否,1,1,20,待确认,常规项目,QT-NFC-60X30
